Group,Subgroup,Key,Total costs (eur),Total CAPEX (eur),Total OPEX (eur),Capital costs (eur),Depreciation costs (eur),Fixed operation and maintenance costs (eur),Variable operation and maintenance costs (eur),Total investment over lifetime (eur),WACC,Construction time (years),Technical lifetime (years),CO2 emission costs (eur),Captured biogenic CO2 costs (eur),Number of units
costs_building_and_installations,households,households_cooling_airconditioning_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_cooling_heatpump_air_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_cooling_heatpump_ground_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_cooling_heatpump_surface_water_water_ts_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,30.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_flexibility_p2p_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_solar_pv_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,25.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_solar_pvt_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,25.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_combined_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_combined_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_district_heating_ht_steam_hot_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,30.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_district_heating_lt_steam_hot_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,30.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_district_heating_mt_steam_hot_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,30.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_heatpump_air_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_heatpump_ground_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_heatpump_pvt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,18.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_heatpump_surface_water_water_ts_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_hybrid_crude_oil_heatpump_air_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_hybrid_heatpump_air_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_space_heater_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
costs_building_and_installations,households,households_water_heater_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,15.0,0.0,-0.0,0.0
